023260-99999 FREDRIKA                        64.083   18.417   300.0 1977-07-01 2004-12-21
023290-99999 HAMRA                           61.667   15.000   455.0 1973-01-01 2020-02-06
023310-99999 HUNGE                           62.750   15.083   343.0 2001-07-01 2020-02-06
023360-99999 EDSBYN                          61.383   15.833   163.0 1977-07-01 2004-02-09
023370-99999 NORRHOG                         62.267   15.667   320.0 1973-01-01 2016-04-21
023420-99999 FRANSTA                         62.517   16.183   105.0 1977-07-01 1996-01-03
023430-99999 TORPSHAMMAR                     62.500   16.283   100.0 1973-01-01 2020-02-06
023470-99999 DELSBO                          61.833   16.550    72.0 2001-07-01 2020-02-06
023550-99999 KUGGOREN                        61.700   17.533    10.0 1996-08-01 2020-02-06
023660-99999 SUNDSVALL HARNOSAND             62.528   17.444     4.9 1977-07-01 2020-02-06
023680-99999 BRAMON                          62.217   17.750    18.0 1987-05-21 2020-02-06
023760-99999 SODERHAMN (SWE-AFB)             61.267   17.100    36.0 1977-07-01 1998-01-05
023820-99999 LUNGO                           62.650   18.100    18.0 1973-08-24 2020-02-06
024000-99999 OSTMARK                         60.350   12.650   310.0 1977-07-01 2005-09-24
024030-99999 NAVEN                           58.700   13.117    53.0 2001-07-01 2020-02-06
024040-99999 ARVIKA                          59.667   12.583    75.0 1977-07-01 2004-02-24
024060-99999 BLOMSKOG                        59.283   12.050   110.0 1977-07-01 2004-04-24
024080-99999 BLOMSKOG                        59.217   12.083   171.0 1996-08-01 2020-02-06
024100-99999 MALUNG                          60.683   13.700   308.0 1977-07-01 2011-08-18
024120-99999 GUSTAVSFORS                     60.150   13.800   190.0 1935-01-01 2005-07-26
024180-99999 KARLSTAD                        59.445   13.337   107.3 1935-01-01 2020-02-06
024230-99999 SUNNE                           59.867   13.117   109.0 2001-07-01 2020-02-06
024280-99999 ATORP                           59.100   14.367   105.0 1977-07-01 2004-08-01
024283-99999 OREBRO                          59.224   15.038    57.3 1991-08-27 2020-02-06
024290-99999 DAGLOSEN                        59.667   14.183   133.0 2001-07-01 2020-02-06
024350-99999 BORLANGE                        60.422   15.515   153.3 1979-08-02 2020-02-06
024400-99999 AMOT                            60.967   16.433   162.0 2001-06-01 2020-02-06
024410-99999 MORA                            60.967   14.500   197.0 2001-07-01 2020-02-06
024430-99999 ENKOPING                        59.650   17.117    26.0 1979-08-03 2020-02-06
024440-99999 FOLKARNA                        60.167   16.317    70.0 1977-07-01 1996-05-06
024460-99999 VASTERAS                        59.589   16.634     6.4 1977-07-01 2020-02-06
024490-99999 ESKILSTUNA A                    59.383   16.450    15.0 2001-07-01 2020-02-06
024500-99999 EGGEGRUND                       60.733   17.567     4.0 1997-09-01 2020-02-06
024520-99999 KILSBERGEN-SUTTARBODA           59.300   14.900   219.0 2001-07-01 2020-02-06
024530-99999 GAVLE/SANDVIKEN AIR FORCE BAS   60.717   17.167    16.0 1996-05-01 2020-02-06
024560-99999 FILM                            60.233   17.900    35.0 1996-02-01 2020-02-06
024580-99999 UPPSALA                         59.897   17.589    20.7 1935-01-01 2020-02-06
024600-99999 ARLANDA                         59.652   17.919    41.8 1977-06-30 2020-02-06
024640-99999 BROMMA                          59.354   17.942    14.3 1931-01-01 2020-02-06
024680-99999 STORA SPANSBERGET               60.383   15.133   493.0 2001-07-01 2020-02-06
024690-99999 TULLINGE                        59.183   17.917    54.0 2001-06-01 2020-02-06
024740-99999 SINGO ISLAND                    60.167   18.750    14.0 1977-07-01 2004-04-30
024760-99999 FLODA                           59.050   16.400    33.0 1996-08-01 2020-02-06
024810-99999 SALA                            59.917   16.683    58.0 2001-07-01 2020-02-06
024820-99999 KERSTINBO                       60.267   16.983    57.0 2001-07-01 2020-02-06
024840-99999 STOCKHOLM/OBSERVATORIET         59.350   18.067    44.0 2001-06-01 2020-02-06
024853-99999 SKAVSTA                         58.789   16.912    42.7 1991-08-27 2020-02-06
024860-99999 ADELSO                          59.367   17.517     6.0 2001-07-01 2020-02-06
024870-99999 SKARPO A                        59.350   18.733    22.0 1997-09-01 2020-02-06
024880-99999 ORSKAR                          60.533   18.383     9.0 1996-08-01 2020-02-06
024900-99999 SVANBERGA                       59.833   18.633    16.0 2001-07-01 2020-02-06
024930-99999 SODERARM                        59.750   19.417    15.0 2001-07-01 2020-02-06
024960-99999 SVENSKA HOGARNA                 59.450   19.500    12.0 1977-07-01 2020-02-06
025000-99999 NORDKOSTER                      58.900   11.000    35.0 1996-02-01 2020-02-06
025050-99999 MASESKAR                        58.100   11.333    16.0 1996-08-01 2020-02-06
025080-99999 MASESKAR (LGT-H)                58.100   11.350    14.0 1973-01-01 2005-05-25
025103-99999 TROLLHATTAN VANERSBORG          58.318   12.345    41.8 1991-08-27 2020-02-06
